testid,error_expected
RMLTC0000-CSV,no
RMLTC0000-JSON,no
RMLTC0000-XML,no
RMLTC0000-MySQL,no
RMLTC0000-PostgreSQL,no
RMLTC0000-SQLServer,no
RMLTC0000-SPARQL,no
RMLTC0001a-CSV,no
RMLTC0001a-JSON,no
RMLTC0001a-XML,no
RMLTC0001a-MySQL,no
RMLTC0001a-PostgreSQL,no
RMLTC0001a-SQLServer,no
RMLTC0001a-SPARQL,no
RMLTC0001b-CSV,no
RMLTC0001b-JSON,no
RMLTC0001b-XML,no
RMLTC0001b-MySQL,no
RMLTC0001b-PostgreSQL,no
RMLTC0001b-SQLServer,no
RMLTC0001b-SPARQL,no
RMLTC0002a-CSV,no
RMLTC0002a-JSON,no
RMLTC0002a-XML,no
RMLTC0002a-MySQL,no
RMLTC0002a-PostgreSQL,no
RMLTC0002a-SQLServer,no
RMLTC0002a-SPARQL,no
RMLTC0002b-CSV,no
RMLTC0002b-JSON,no
RMLTC0002b-XML,no
RMLTC0002b-MySQL,no
RMLTC0002b-PostgreSQL,no
RMLTC0002b-SQLServer,no
RMLTC0002b-SPARQL,no
RMLTC0002c-CSV,yes
RMLTC0002c-JSON,yes
RMLTC0002c-XML,yes
RMLTC0002c-MySQL,yes
RMLTC0002c-PostgreSQL,yes
RMLTC0002c-SQLServer,yes
RMLTC0002d-MySQL,no
RMLTC0002d-PostgreSQL,no
RMLTC0002d-SQLServer,no
RMLTC0002e-CSV,yes
RMLTC0002e-JSON,yes
RMLTC0002e-XML,yes
RMLTC0002e-MySQL,yes
RMLTC0002e-PostgreSQL,yes
RMLTC0002e-SQLServer,yes
RMLTC0002f-MySQL,yes
RMLTC0002f-PostgreSQL,yes
RMLTC0002f-SQLServer,yes
RMLTC0002g-MySQL,yes
RMLTC0002g-PostgreSQL,yes
RMLTC0002g-SQLServer,yes
RMLTC0002g-SPARQL,yes
RMLTC0002h-MySQL,yes
RMLTC0002h-PostgreSQL,yes
RMLTC0002h-SQLServer,yes
RMLTC0002h-SPARQL,yes
RMLTC0002i-MySQL,no
RMLTC0002i-PostgreSQL,no
RMLTC0002i-SQLServer,no
RMLTC0002j-MySQL,no
RMLTC0002j-PostgreSQL,no
RMLTC0002j-SQLServer,no
RMLTC0003a-MySQL,yes
RMLTC0003a-PostgreSQL,yes
RMLTC0003a-SQLServer,yes
RMLTC0003b-MySQL,no
RMLTC0003b-PostgreSQL,no
RMLTC0003b-SQLServer,no
