testid,result
rmltc0009a-mysql,passed
rmltc0002i-mysql,passed
rmltc0020a-xml,passed
rmltc0005a-mysql,failed
rmltc0002h-sparql,passed
rmltc0007b-sqlserver,passed
rmltc0009d-postgresql,passed
rmltc0002i-sqlserver,passed
rmltc0007g-postgresql,passed
rmltc0016c-postgresql,failed
rmltc0002b-postgresql,passed
rmltc0010a-postgresql,passed
rmltc0007e-mysql,passed
rmltc0001b-sparql,passed
rmltc0007c-json,passed
rmltc0010a-sqlserver,passed
rmltc0007a-sparql,passed
rmltc0002a-csv,passed
rmltc0002c-csv,passed
rmltc0011b-mysql,passed
rmltc0001a-sqlserver,passed
rmltc0001b-json,passed
rmltc0003c-postgresql,passed
rmltc0007g-mysql,passed
rmltc0003b-mysql,passed
rmltc0020b-xml,passed
rmltc0005a-postgresql,failed
rmltc0019a-postgresql,passed
rmltc0008b-sparql,passed
rmltc0016b-sqlserver,failed
rmltc0002d-sqlserver,passed
rmltc0008c-sqlserver,passed
rmltc0009c-mysql,passed
rmltc0002b-csv,passed
rmltc0001b-mysql,passed
rmltc0012b-postgresql,passed
rmltc0009a-json,passed
rmltc0001a-xml,passed
rmltc0015b-csv,passed
rmltc0019a-csv,passed
rmltc0000-csv,passed
rmltc0004a-sqlserver,passed
rmltc0010a-json,passed
rmltc0002j-postgresql,passed
rmltc0009b-sparql,passed
rmltc0020b-postgresql,passed
rmltc0007d-sqlserver,passed
rmltc0007c-mysql,passed
rmltc0000-postgresql,passed
rmltc0018a-sqlserver,failed
rmltc0003c-csv,passed
rmltc0002e-json,passed
rmltc0007a-mysql,passed
rmltc0002e-csv,passed
rmltc0009a-sqlserver,passed
rmltc0007b-json,passed
rmltc0019a-mysql,passed
rmltc0009a-postgresql,passed
rmltc0002b-sqlserver,passed
rmltc0016d-sqlserver,failed
rmltc0012a-json,passed
rmltc0015a-mysql,failed
rmltc0001b-xml,passed
rmltc0003c-json,passed
rmltc0015a-csv,passed
rmltc0019b-csv,passed
rmltc0015a-sqlserver,failed
rmltc0007c-sparql,passed
rmltc0000-mysql,passed
rmltc0015a-postgresql,failed
rmltc0007b-postgresql,passed
rmltc0006a-sparql,passed
rmltc0002g-postgresql,passed
rmltc0007e-postgresql,passed
rmltc0003c-mysql,passed
rmltc0007f-mysql,passed
rmltc0004b-postgresql,passed
rmltc0016a-postgresql,passed
rmltc0007c-sqlserver,passed
rmltc0010c-postgresql,passed
rmltc0015a-json,passed
rmltc0007d-xml,passed
rmltc0012a-sqlserver,passed
rmltc0012c-csv,passed
rmltc0019b-sqlserver,passed
rmltc0019b-json,passed
rmltc0012b-csv,passed
rmltc0002j-mysql,passed
rmltc0009b-mysql,passed
rmltc0007e-xml,passed
rmltc0006a-xml,passed
rmltc0002h-sqlserver,passed
rmltc0005b-mysql,failed
rmltc0005b-sqlserver,failed
rmltc0008a-csv,passed
rmltc0004b-csv,passed
