id;CARML
RMLTC0000-CSV;PASSED
RMLTC0000-JSON;PASSED
RMLTC0000-MySQL;NOT SUPPORTED
RMLTC0000-PostgreSQL;NOT SUPPORTED
RMLTC0000-SPARQL;NOT SUPPORTED
RMLTC0000-SQLServer;NOT SUPPORTED
RMLTC0000-XML;PASSED
RMLTC0001a-CSV;PASSED
RMLTC0001a-JSON;PASSED
RMLTC0001a-MySQL;NOT SUPPORTED
RMLTC0001a-PostgreSQL;NOT SUPPORTED
RMLTC0001a-SPARQL;NOT SUPPORTED
RMLTC0001a-SQLServer;NOT SUPPORTED
RMLTC0001a-XML;PASSED
RMLTC0001b-CSV;PASSED
RMLTC0001b-JSON;PASSED
RMLTC0001b-MySQL;NOT SUPPORTED
RMLTC0001b-PostgreSQL;NOT SUPPORTED
RMLTC0001b-SPARQL;NOT SUPPORTED
RMLTC0001b-SQLServer;NOT SUPPORTED
RMLTC0001b-XML;PASSED
RMLTC0002a-CSV;PASSED
RMLTC0002a-JSON;PASSED
RMLTC0002a-MySQL;NOT SUPPORTED
RMLTC0002a-PostgreSQL;NOT SUPPORTED
RMLTC0002a-SPARQL;NOT SUPPORTED
RMLTC0002a-SQLServer;NOT SUPPORTED
RMLTC0002a-XML;PASSED
RMLTC0002b-CSV;PASSED
RMLTC0002b-JSON;PASSED
RMLTC0002b-MySQL;NOT SUPPORTED
RMLTC0002b-PostgreSQL;NOT SUPPORTED
RMLTC0002b-SPARQL;NOT SUPPORTED
RMLTC0002b-SQLServer;NOT SUPPORTED
RMLTC0002b-XML;PASSED
RMLTC0002c-CSV;PASSED
RMLTC0002c-JSON;PASSED
RMLTC0002c-MySQL;NOT SUPPORTED
RMLTC0002c-PostgreSQL;NOT SUPPORTED
RMLTC0002c-SQLServer;NOT SUPPORTED
RMLTC0002c-XML;PASSED
RMLTC0002d-MySQL;NOT SUPPORTED
RMLTC0002d-PostgreSQL;NOT SUPPORTED
RMLTC0002d-SQLServer;NOT SUPPORTED
RMLTC0002e-CSV;PASSED
RMLTC0002e-JSON;PASSED
RMLTC0002e-MySQL;NOT SUPPORTED
RMLTC0002e-PostgreSQL;NOT SUPPORTED
RMLTC0002e-SQLServer;NOT SUPPORTED
RMLTC0002e-XML;PASSED
RMLTC0002f-MySQL;NOT SUPPORTED
RMLTC0002f-PostgreSQL;NOT SUPPORTED
RMLTC0002f-SQLServer;NOT SUPPORTED
RMLTC0002g-JSON;FAILED
RMLTC0002g-MySQL;NOT SUPPORTED
RMLTC0002g-PostgreSQL;NOT SUPPORTED
RMLTC0002g-SPARQL;NOT SUPPORTED
RMLTC0002g-SQLServer;NOT SUPPORTED
RMLTC0002h-MySQL;NOT SUPPORTED
RMLTC0002h-PostgreSQL;NOT SUPPORTED
RMLTC0002h-SPARQL;NOT SUPPORTED
RMLTC0002h-SQLServer;NOT SUPPORTED
RMLTC0002i-MySQL;NOT SUPPORTED
RMLTC0002i-PostgreSQL;NOT SUPPORTED
RMLTC0002i-SQLServer;NOT SUPPORTED
RMLTC0002j-MySQL;NOT SUPPORTED
RMLTC0002j-PostgreSQL;NOT SUPPORTED
RMLTC0002j-SQLServer;NOT SUPPORTED
RMLTC0003a-MySQL;NOT SUPPORTED
RMLTC0003a-PostgreSQL;NOT SUPPORTED
RMLTC0003a-SQLServer;NOT SUPPORTED
RMLTC0003b-MySQL;NOT SUPPORTED
RMLTC0003b-PostgreSQL;NOT SUPPORTED
RMLTC0003b-SQLServer;NOT SUPPORTED
RMLTC0003c-CSV;PASSED
RMLTC0003c-JSON;PASSED
RMLTC0003c-MySQL;NOT SUPPORTED
RMLTC0003c-PostgreSQL;NOT SUPPORTED
RMLTC0003c-SPARQL;NOT SUPPORTED
RMLTC0003c-SQLServer;NOT SUPPORTED
RMLTC0003c-XML;PASSED
RMLTC0004a-CSV;PASSED
RMLTC0004a-JSON;PASSED
RMLTC0004a-MySQL;NOT SUPPORTED
RMLTC0004a-PostgreSQL;NOT SUPPORTED
RMLTC0004a-SPARQL;NOT SUPPORTED
RMLTC0004a-SQLServer;NOT SUPPORTED
RMLTC0004a-XML;PASSED
RMLTC0004b-CSV;PASSED
RMLTC0004b-JSON;PASSED
RMLTC0004b-MySQL;NOT SUPPORTED
RMLTC0004b-PostgreSQL;NOT SUPPORTED
RMLTC0004b-SPARQL;NOT SUPPORTED
RMLTC0004b-SQLServer;NOT SUPPORTED
RMLTC0004b-XML;PASSED
RMLTC0005a-CSV;PASSED
RMLTC0005a-JSON;PASSED
RMLTC0005a-MySQL;NOT SUPPORTED
RMLTC0005a-PostgreSQL;NOT SUPPORTED
RMLTC0005a-SQLServer;NOT SUPPORTED
RMLTC0005a-XML;PASSED
RMLTC0005b-MySQL;NOT SUPPORTED
RMLTC0005b-PostgreSQL;NOT SUPPORTED
RMLTC0005b-SQLServer;NOT SUPPORTED
RMLTC0006a-CSV;FAILED
RMLTC0006a-JSON;FAILED
RMLTC0006a-MySQL;NOT SUPPORTED
RMLTC0006a-PostgreSQL;NOT SUPPORTED
RMLTC0006a-SPARQL;NOT SUPPORTED
RMLTC0006a-SQLServer;NOT SUPPORTED
RMLTC0006a-XML;FAILED
RMLTC0007a-CSV;PASSED
RMLTC0007a-JSON;PASSED
