testid,result
RMLTC0009a-MySQL,passed
RMLTC0002i-MySQL,passed
RMLTC0020a-XML,passed
RMLTC0005a-MySQL,passed
RMLTC0002h-SPARQL,passed
RMLTC0007b-SQLServer,passed
RMLTC0009d-PostgreSQL,passed
RMLTC0002i-SQLServer,passed
RMLTC0007g-PostgreSQL,passed
RMLTC0016c-PostgreSQL,passed
RMLTC0002b-PostgreSQL,passed
RMLTC0010a-PostgreSQL,passed
RMLTC0007e-MySQL,passed
RMLTC0001b-SPARQL,passed
RMLTC0007c-JSON,passed
RMLTC0010a-SQLServer,passed
RMLTC0007a-SPARQL,passed
RMLTC0002a-CSV,passed
RMLTC0002c-CSV,passed
RMLTC0011b-MySQL,passed
RMLTC0001a-SQLServer,passed
RMLTC0001b-JSON,passed
RMLTC0003c-PostgreSQL,passed
RMLTC0007g-MySQL,passed
RMLTC0003b-MySQL,passed
RMLTC0020b-XML,passed
RMLTC0005a-PostgreSQL,passed
RMLTC0019a-PostgreSQL,passed
RMLTC0008b-SPARQL,passed
RMLTC0016b-SQLServer,passed
RMLTC0002d-SQLServer,passed
RMLTC0008c-SQLServer,passed
RMLTC0009c-MySQL,passed
RMLTC0002b-CSV,passed
RMLTC0001b-MySQL,passed
RMLTC0012b-PostgreSQL,passed
RMLTC0009a-JSON,passed
RMLTC0001a-XML,passed
RMLTC0015b-CSV,passed
RMLTC0019a-CSV,passed
RMLTC0000-CSV,passed
RMLTC0004a-SQLServer,passed
RMLTC0010a-JSON,passed
RMLTC0002j-PostgreSQL,passed
RMLTC0009b-SPARQL,passed
RMLTC0020b-PostgreSQL,passed
RMLTC0007d-SQLServer,passed
RMLTC0007c-MySQL,passed
RMLTC0000-PostgreSQL,passed
RMLTC0018a-SQLServer,passed
RMLTC0003c-CSV,passed
RMLTC0002e-JSON,passed
RMLTC0007a-MySQL,passed
RMLTC0002e-CSV,passed
RMLTC0009a-SQLServer,passed
RMLTC0007b-JSON,passed
RMLTC0019a-MySQL,passed
RMLTC0009a-PostgreSQL,passed
RMLTC0002b-SQLServer,passed
RMLTC0016d-SQLServer,passed
RMLTC0012a-JSON,passed
RMLTC0015a-MySQL,failed
RMLTC0001b-XML,passed
RMLTC0003c-JSON,passed
RMLTC0015a-CSV,passed
RMLTC0019b-CSV,passed
RMLTC0015a-SQLServer,failed
RMLTC0007c-SPARQL,passed
RMLTC0000-MySQL,passed
RMLTC0015a-PostgreSQL,failed
RMLTC0007b-PostgreSQL,passed
RMLTC0006a-SPARQL,passed
RMLTC0002g-PostgreSQL,passed
RMLTC0007e-PostgreSQL,passed
RMLTC0003c-MySQL,passed
RMLTC0007f-MySQL,passed
RMLTC0004b-PostgreSQL,passed
RMLTC0016a-PostgreSQL,passed
RMLTC0007c-SQLServer,passed
RMLTC0010c-PostgreSQL,passed
RMLTC0015a-JSON,passed
RMLTC0007d-XML,passed
RMLTC0012a-SQLServer,passed
